"species","start_year","end_year","trend_type","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys"
"Buff-breasted Sandpiper",1995,2007,"Previous-three-generation",-2.53940503220011,-7.1479930367741,2.08143580393971,-26.5380291311577,-58.9327573439172,28.0445924626415,0.865,0.434583333333333,0.0920833333333333,0.00291666666666667,0.00188563970981363,0.248141162718162,358.461538461538
"Pectoral Sandpiper",1980,2019,"Long-term",-2.13527894685748,-4.23033234859457,0.0346488145028045,-57.232070645945,-81.4693243466348,1.36024404317545,0.972083333333333,0.860833333333333,0.633333333333333,0.22,10.6067070249303,14.6820268356323,753.525
"Pectoral Sandpiper",2004,2019,"15-year",-4.17855587035324,-8.34659340958188,0.133974621322583,-47.5895222891992,-72.9461390938263,2.02858410414621,0.968333333333333,0.801666666666667,0.44625,0.0529166666666667,6.00337205924671,2.15446940348771,600
"Pectoral Sandpiper",1980,1995,"First-15-year",1.16772168522559,-3.0123570516444,5.91455072623916,17.3581647722859,-36.7957595223307,136.774228631175,0.315416666666667,0.0554166666666667,0.00333333333333333,0,14.6759304952827,27.830940573362,816.9375
"Pectoral Sandpiper",2005,2019,"Recent-three-generation",-3.89572874827862,-8.51801811124658,0.848201950661317,-42.8394257723384,-71.2460239350215,12.5522632838487,0.945416666666667,0.72,0.358333333333333,0.0325,5.78945744375854,1.75971166534833,588.133333333333
"Pectoral Sandpiper",1991,2005,"Previous-three-generation",-4.14939869541429,-6.79823437427086,-1.55852855331227,-44.6083851992747,-62.6803160339632,-19.7410709178741,0.999583333333333,0.898333333333333,0.292083333333333,0.00291666666666667,12.1759885306857,18.2514942361446,842.933333333333
"Semipalmated Sandpiper",1980,2019,"Long-term",-3.26459490266356,-5.51843897791205,-1.53706091991852,-69.9925469644145,-89.0721314213466,-45.3438465264572,1,0.99875,0.96,0.499583333333333,3565338969414.74,859.282829996783,987.25
"Semipalmated Sandpiper",2004,2019,"15-year",-4.62459188775905,-7.41233915446655,-1.08941897334299,-51.8183880226923,-68.5009978615718,-15.1520277333944,0.989166666666667,0.919166666666667,0.551666666666667,0.0158333333333333,1837330267924.16,784.723516331223,859.8125
"Semipalmated Sandpiper",1980,1995,"First-15-year",-2.62098516351624,-9.24261687725838,0.776680711656861,-26.231120902382,-76.6530863954396,12.3054332259636,0.919166666666667,0.432916666666667,0.176666666666667,0.06125,5463853114069.89,1057.3384969283,1024.625
"Semipalmated Sandpiper",2007,2019,"Recent-three-generation",-4.7734054396689,-7.82158501810382,-0.773016197963941,-45.4879151045889,-62.3685599313056,-8.89179430107257,0.984166666666667,0.86375,0.330833333333333,0.000416666666666667,1514530285338.3,503.451757668419,848.538461538462
