"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","p_decline","p_decline_GT_30","p_decline_GT_50","p_decline_GT_70","mean_abundance","mean_observed","mean_n_surveys","trend_type","species","start_year","end_year","parameter","region","true_trend"
-0.478196544140351,-3.30526672125832,1.77121278358479,-3.08839346032394,-28.545727128657,19.1926607872594,0.654375,0.0184375,0,0,3.214171059375,8.09276637538513,714.818181818182,"Previous-three-generation","Simulated_White-rumped Sandpiper",1999,2009,"NSmooth","Survey Wide",-0.811554953464625
-2.08406243556935,-3.64201168452081,-0.539729538754827,-56.0398525546477,-76.4700361553408,-19.0278259961344,0.998125,0.9290625,0.664375,0.1128125,0.00849870525203125,0.0717317354842776,309.325,"Long-term","Simulated_Buff-breasted Sandpiper",1980,2019,"NSmooth","Survey Wide",-2.2512455341793
-0.0671960669058611,-4.3228591819404,4.42120021175175,-1.22099050333577,-35.7191084255997,54.1298960894084,0.5290625,0.051875,0.0046875,0.0003125,0.00593420910568182,0.0334294455726874,155.818181818182,"Recent-three-generation","Simulated_Buff-breasted Sandpiper",2009,2019,"NSmooth","Survey Wide",-2.2512455341793
-2.42970174725758,-5.48279029888008,0.500369677430448,-21.4347113406946,-43.1004379957842,5.11788099634516,0.9534375,0.235,0.0053125,0,0.00679006126221591,0.0512849119076124,312.090909090909,"Previous-three-generation","Simulated_Buff-breasted Sandpiper",1999,2009,"NSmooth","Survey Wide",-2.2512455341793
-1.87560275241473,-3.62394959612803,-0.158642309880883,-51.9090397993491,-76.2974068680584,-6.00415493640923,0.9875,0.86875,0.5509375,0.0865625,3.83365670210156,10.046027839714,753.525,"Long-term","Simulated_Pectoral Sandpiper",1980,2019,"NSmooth","Survey Wide",-2.61593725303244
-1.38093843424683,-5.75270881641614,2.58527231557814,-11.9934114811338,-44.7046300998903,29.0773845941029,0.7559375,0.1434375,0.011875,0.0003125,2.70936668318182,2.19348774553159,587.909090909091,"Recent-three-generation","Simulated_Pectoral Sandpiper",2009,2019,"NSmooth","Survey Wide",-2.61593725303244
-2.58913158110773,-5.79671009938784,0.365541936696233,-22.8263695214738,-44.9622454019346,3.71613867657766,0.9534375,0.2659375,0.0090625,0.0003125,3.32139737522727,6.44929781348146,758.090909090909,"Previous-three-generation","Simulated_Pectoral Sandpiper",1999,2009,"NSmooth","Survey Wide",-2.61593725303244
-3.81776452798414,-6.58522790894018,-0.885263903293481,-78.2829719727983,-92.9821061143544,-29.3046335420101,0.9971875,0.9740625,0.9196875,0.7165625,9.84425528930469,132.671156459793,837.35,"Long-term","Simulated_Short-billed Dowitcher",1980,2019,"NSmooth","Survey Wide",-4.78249235707119
-2.60916723985026,-9.51933146637116,3.97869556419155,-22.5814777958199,-63.2245487943334,47.721479311967,0.7825,0.3896875,0.1075,0.006875,4.47526515542614,33.3281026132649,657.636363636364,"Recent-three-generation","Simulated_Short-billed Dowitcher",2009,2019,"NSmooth","Survey Wide",-4.78249235707119
-5.28677295936322,-10.2688510461286,-0.441862904569241,-42.1834340437346,-66.1598401075358,-4.33179193396498,0.98625,0.7675,0.2740625,0.010625,6.78074224034091,121.120905417514,854.181818181818,"Previous-three-generation","Simulated_Short-billed Dowitcher",1999,2009,"NSmooth","Survey Wide",-4.78249235707119
-3.12757082755637,-5.36102416618365,-1.06343117203276,-70.928747471841,-88.339121242185,-34.0951774380607,0.9978125,0.9796875,0.899375,0.530625,29.0665597591094,18.6073742095504,373.675,"Long-term","Simulated_Long-billed Dowitcher",1980,2019,"NSmooth","Survey Wide",-3.93976178658366
-1.61896797673554,-7.88992071875618,4.1192047633992,-13.674794411515,-56.0385668302517,49.7298627213553,0.705,0.2440625,0.05,0.0046875,16.5952474881818,0.261168442277941,192.636363636364,"Recent-three-generation","Simulated_Long-billed Dowitcher",2009,2019,"NSmooth","Survey Wide",-3.93976178658366
-3.37339344024669,-7.33183323470125,0.316627636334904,-28.4855902658604,-53.3011951134122,3.21177362483799,0.965,0.450625,0.044375,0,21.1627540376136,1.91982315042799,399.818181818182,"Previous-three-generation","Simulated_Long-billed Dowitcher",1999,2009,"NSmooth","Survey Wide",-3.93976178658366
-2.13795522590591,-3.80030003678942,-0.311724855619444,-57.1136006738243,-77.9313842672867,-11.4641367941111,0.9909375,0.914375,0.67625,0.1478125,0.331979162841406,2.12416756140867,850.85,"Long-term","Simulated_Spotted Sandpiper",1980,2019,"NSmooth","Survey Wide",-2.58857823859214
-1.45982539189206,-5.98398813835591,2.62452320815968,-12.3106176402715,-46.0466700932838,29.5721079529333,0.7490625,0.1709375,0.013125,0,0.221413046610795,0.990701249854339,709.272727272727,"Recent-three-generation","Simulated_Spotted Sandpiper",2009,2019,"NSmooth","Survey Wide",-2.58857823859214
-2.82737212234652,-6.05893497859406,0.162788035339632,-24.3318738606535,-46.4752317216245,1.63985732855435,0.965,0.3284375,0.0115625,0,0.277031534232955,1.85967761685807,809.272727272727,"Previous-three-generation","Simulated_Spotted Sandpiper",1999,2009,"NSmooth","Survey Wide",-2.58857823859214
-0.733238113880691,-2.32980342438592,0.523955211031491,-22.7221591951929,-60.1231898757533,22.606403232438,0.8403125,0.380625,0.1028125,0.001875,0.120879164700781,0.423816330630765,556.075,"Long-term","Simulated_Solitary Sandpiper",1980,2019,"NSmooth","Survey Wide",-1.26242800729242
-0.49096054682975,-4.3393501376081,2.86575891488135,-2.77806795559267,-35.8298143166739,32.6503370391109,0.6203125,0.0546875,0.001875,0,0.106279381994318,0.222910297633857,381.181818181818,"Recent-three-generation","Simulated_Solitary Sandpiper",2009,2019,"NSmooth","Survey Wide",-1.26242800729242
-0.940143418407486,-3.85011592680249,1.50155523747096,-7.36588224338466,-32.4714140142337,16.0718661828349,0.7759375,0.0409375,0,0,0.114145973988636,0.442462109744604,478,"Previous-three-generation","Simulated_Solitary Sandpiper",1999,2009,"NSmooth","Survey Wide",-1.26242800729242
-2.44255513978447,-4.90359053543286,-0.0251502955960639,-61.9299203965266,-85.926546597639,-0.976182242256908,0.978125,0.888125,0.70875,0.305625,4.73135369509375,33.1314348039279,918.375,"Long-term","Simulated_Lesser Yellowlegs",1980,2019,"NSmooth","Survey Wide",-3.75819385713536
-1.70264712642269,-7.4247700837673,3.77661112269644,-14.0600866880645,-53.7674344739054,44.8754832714162,0.7540625,0.2384375,0.0428125,0.000625,2.94765086056818,11.5881949873451,757.727272727273,"Recent-three-generation","Simulated_Lesser Yellowlegs",2009,2019,"NSmooth","Survey Wide",-3.75819385713536
-3.26905861900755,-7.49712591457707,0.609390519904779,-28.2450693357442,-54.1275149774149,6.26376680033,0.9440625,0.4571875,0.054375,0,3.80359547272727,34.5814839113242,956,"Previous-three-generation","Simulated_Lesser Yellowlegs",1999,2009,"NSmooth","Survey Wide",-3.75819385713536
0.0803919314096493,-0.94505453549887,1.16650304807013,1.42357983434253,-30.9489375511017,57.1928527304495,0.4403125,0.028125,0.000625,0,4.38979733263281,9.28369170948261,485.1,"Long-term","Simulated_Willet",1980,2019,"NSmooth","Survey Wide",0.415579246536033
-0.0474762467956286,-2.67517792724494,2.72318386370096,-0.205669208324705,-23.7506423129629,30.8231880005277,0.5271875,0.0109375,0,0,4.45164488997159,8.84492275323706,388.090909090909,"Recent-three-generation","Simulated_Willet",2009,2019,"NSmooth","Survey Wide",0.415579246536033
0.0767819384310584,-1.89406723001877,2.17588380829473,0.221757909611431,-17.4051985423417,24.0178033052939,0.4740625,0.00125,0,0,4.42872250568182,7.32789448325991,560.363636363636,"Previous-three-generation","Simulated_Willet",1999,2009,"NSmooth","Survey Wide",0.415579246536033
-1.00430245537632,-3.32741714199069,0.63907849818849,-28.6516268830677,-73.2804241438541,28.2033604837471,0.8403125,0.4828125,0.2303125,0.0403125,7.41945239835938,16.8077650507811,1008.175,"Long-term","Simulated_Greater Yellowlegs",1980,2019,"NSmooth","Survey Wide",-1.4591815680971
-0.433070715317558,-5.52710253212625,4.65132345347519,-2.26156509336438,-43.366636317279,57.5604633722937,0.581875,0.0871875,0.0065625,0,6.25180832926136,10.1146256024216,903.636363636364,"Recent-three-generation","Simulated_Greater Yellowlegs",2009,2019,"NSmooth","Survey Wide",-1.4591815680971
-1.28458053414131,-5.10388097818635,1.34848391558314,-9.74734093530839,-40.7778029912751,14.3332540456992,0.7946875,0.1003125,0.00375,0,6.78041596761364,18.528976561728,1033.90909090909,"Previous-three-generation","Simulated_Greater Yellowlegs",1999,2009,"NSmooth","Survey Wide",-1.4591815680971
-1.79635920279812,-3.66347316418376,-0.0942288049367941,-50.4222367707712,-76.67356103613,-3.60988720068121,0.9853125,0.84,0.5109375,0.0809375,0.382246832094531,1.30876955746163,257.8,"Long-term","Simulated_Wilson's Phalarope",1980,2019,"NSmooth","Survey Wide",-3.06005196778445
-0.976433493002095,-5.77420881050139,3.26723041903229,-7.9694212892719,-44.8306412607434,37.9193800636768,0.685625,0.1175,0.0115625,0.0003125,0.275840179786932,0.0801014616516739,102.545454545455,"Recent-three-generation","Simulated_Wilson's Phalarope",2009,2019,"NSmooth","Survey Wide",-3.06005196778445
-2.39672073803187,-5.68297620567634,0.387720005857814,-20.9819897166924,-44.2941397388963,3.94555138760651,0.9478125,0.2321875,0.0071875,0,0.328487739943182,0.844434206216452,286,"Previous-three-generation","Simulated_Wilson's Phalarope",1999,2009,"NSmooth","Survey Wide",-3.06005196778445
